epoch,train_loss,train_acc,accuracy,train_detached_loss,test_detached_loss,optimizer,loss_fn,repetition,initial_lr,actual_lr,corr_p,epoch_time,method
1,0.01534746226767699,0.7907833333333333,0.8694,0.009965217169125875,0.009632560002803802,Adam,,,1e-06,1e-06,0.2,1.591778039932251,FWD
2,0.015245933871467908,0.8735333333333334,0.8911,0.007772354364395141,0.007480791291594505,Adam,,,1e-06,1e-06,0.2,1.3031771183013916,FWD
3,0.015226379309097926,0.8879,0.8997,0.0068935243416577575,0.006633678562194109,Adam,,,1e-06,1e-06,0.2,1.2467849254608154,FWD
4,0.015216777827342352,0.8958,0.9045,0.006398787734036644,0.006161785283684731,Adam,,,1e-06,1e-06,0.2,1.2006173133850098,FWD
5,0.015210732944806417,0.9006,0.9089,0.00607608369315664,0.005856356893107295,Adam,,,1e-06,1e-06,0.2,1.209691047668457,FWD
6,0.015206443779667218,0.9041166666666667,0.9111,0.0058479141396159924,0.005641897343844175,Adam,,,1e-06,1e-06,0.2,1.2055480480194092,FWD
7,0.0152031822681427,0.9074833333333333,0.9129,0.005677883632481098,0.005483207647502423,Adam,,,1e-06,1e-06,0.2,1.2869610786437988,FWD
8,0.015200586100419362,0.9095166666666666,0.9146,0.005546558360507091,0.0053618069648742675,Adam,,,1e-06,1e-06,0.2,1.2036089897155762,FWD
9,0.015198452460765838,0.9113333333333333,0.9156,0.005442171588540077,0.005266182404011488,Adam,,,1e-06,1e-06,0.2,1.2021570205688477,FWD
10,0.01519665543238322,0.91285,0.9163,0.0053574499055743215,0.005189516795426607,Adam,,,1e-06,1e-06,0.2,1.2031972408294678,FWD
11,0.015195111628373463,0.9140166666666667,0.9169,0.005287308723293245,0.005126941579580307,Adam,,,1e-06,1e-06,0.2,1.2149758338928223,FWD
12,0.01519376461704572,0.9149166666666667,0.9175,0.005228586034228404,0.005075451857969165,Adam,,,1e-06,1e-06,0.2,1.372791051864624,FWD
13,0.015192574782172839,0.9158,0.9186,0.005178548268415034,0.005032276486977935,Adam,,,1e-06,1e-06,0.2,1.2077500820159912,FWD
14,0.015191510408123334,0.91635,0.9189,0.005135630636910598,0.004995900446176529,Adam,,,1e-06,1e-06,0.2,1.213897943496704,FWD
15,0.01519054962793986,0.9169666666666667,0.9193,0.00509842987395823,0.004965026310458779,Adam,,,1e-06,1e-06,0.2,1.200411319732666,FWD
16,0.015189678017298381,0.9176666666666666,0.9193,0.0050659042686844865,0.004938736208155751,Adam,,,1e-06,1e-06,0.2,1.1968660354614258,FWD
