epoch,train_loss,train_acc,accuracy,train_detached_loss,test_detached_loss,optimizer,loss_fn,repetition,initial_lr,actual_lr,corr_p,epoch_time,method
1,0.007086990141868591,0.7926333333333333,0.8841,0.008355487575630347,0.00803941969871521,Adam,,,1e-06,1e-06,0.2,0.8696582317352295,MC
2,0.0036681109853088857,0.8870333333333333,0.9018,0.006673021153484782,0.006410886005312204,Adam,,,1e-06,1e-06,0.2,0.7521748542785645,MC
3,0.0030379491917168103,0.89975,0.9095,0.006018229105820259,0.005787179064750672,Adam,,,1e-06,1e-06,0.2,0.7436051368713379,MC
4,0.002730837221785138,0.9065666666666666,0.9145,0.0056569357426216205,0.005445534215867519,Adam,,,1e-06,1e-06,0.2,0.7449390888214111,MC
5,0.002540933745447546,0.9111333333333334,0.9175,0.0054259256199002265,0.005228991349041462,Adam,,,1e-06,1e-06,0.2,0.7559092044830322,MC
6,0.0024091353714776535,0.9139833333333334,0.9199,0.005265220811963081,0.005080009924247861,Adam,,,1e-06,1e-06,0.2,0.7630891799926758,MC
7,0.0023108731501890966,0.9164333333333333,0.9217,0.0051470536223302285,0.004972289565578103,Adam,,,1e-06,1e-06,0.2,0.764228105545044,MC
8,0.002233854367987563,0.9180166666666667,0.9226,0.0050564773870632055,0.004891272252053022,Adam,,,1e-06,1e-06,0.2,0.7628517150878906,MC
9,0.0021712426481458047,0.9197,0.9231,0.004984861671489974,0.004828765105456114,Adam,,,1e-06,1e-06,0.2,0.7609081268310547,MC
10,0.0021188764968886973,0.9207333333333333,0.9239,0.004926812187830607,0.0047794939963147045,Adam,,,1e-06,1e-06,0.2,0.7589800357818604,MC
11,0.0020741164383012802,0.9220166666666667,0.9254,0.004878969478296737,0.004740102439932525,Adam,,,1e-06,1e-06,0.2,0.7562289237976074,MC
12,0.0020351884987050047,0.9233,0.9258,0.004838787880850335,0.004708097318932414,Adam,,,1e-06,1e-06,0.2,0.7535219192504883,MC
13,0.002000841889406244,0.9245,0.9265,0.004804694967592756,0.004681970058567822,Adam,,,1e-06,1e-06,0.2,1.0822250843048096,MC
14,0.0019702285156274835,0.9254333333333333,0.9272,0.004775414643312494,0.004660489783994854,Adam,,,1e-06,1e-06,0.2,0.7813699245452881,MC
15,0.001942647384215767,0.9262166666666667,0.9274,0.0047500506583911676,0.004642638725787401,Adam,,,1e-06,1e-06,0.2,0.753737211227417,MC
16,0.0019176168022987743,0.9270333333333334,0.9278,0.004727979009939979,0.004627798632904887,Adam,,,1e-06,1e-06,0.2,0.7435760498046875,MC
17,0.0018947129741931955,0.9275833333333333,0.928,0.004708596518697838,0.004615419783256948,Adam,,,1e-06,1e-06,0.2,0.7417190074920654,MC
18,0.001873641613808771,0.9280333333333334,0.9285,0.004691494384407997,0.004605204527266323,Adam,,,1e-06,1e-06,0.2,0.8052990436553955,MC
19,0.0018541709734747806,0.9284333333333333,0.9293,0.004676434859447181,0.004596614425629377,Adam,,,1e-06,1e-06,0.2,0.7413430213928223,MC
20,0.0018360372075190148,0.9288666666666666,0.9294,0.004663023552453766,0.00458954568952322,Adam,,,1e-06,1e-06,0.2,0.743452787399292,MC
21,0.0018191516955848783,0.9295666666666667,0.9297,0.004651114460639655,0.004583773729391396,Adam,,,1e-06,1e-06,0.2,0.7441680431365967,MC
22,0.0018033283521731694,0.9300333333333334,0.9299,0.004640530223399401,0.004579116372764111,Adam,,,1e-06,1e-06,0.2,0.745521068572998,MC
23,0.0017884498558007182,0.9304833333333333,0.9301,0.004631077152428528,0.004575419080629944,Adam,,,1e-06,1e-06,0.2,0.744621753692627,MC
24,0.0017744353062473237,0.9309,0.9304,0.004622686411316196,0.004572622947581113,Adam,,,1e-06,1e-06,0.2,0.7493040561676025,MC
25,0.0017611743497041364,0.93155,0.9307,0.0046151916194707154,0.004570544328726828,Adam,,,1e-06,1e-06,0.2,0.748607873916626,MC
26,0.001748617796568821,0.9318,0.9309,0.004608476623427123,0.004569056046195328,Adam,,,1e-06,1e-06,0.2,0.741286039352417,MC
27,0.0017366755100432783,0.9320666666666667,0.9311,0.004602479484242698,0.004568219353072345,Adam,,,1e-06,1e-06,0.2,0.7418818473815918,MC
28,0.0017253237408275405,0.9325166666666667,0.9308,0.004597247765709957,0.004567956590279937,Adam,,,1e-06,1e-06,0.2,0.7407381534576416,MC
29,0.0017145041218958794,0.9329166666666666,0.9305,0.004592522024735808,0.0045680902494117616,Adam,,,1e-06,1e-06,0.2,0.7500057220458984,MC
30,0.0017041654809378088,0.9332,0.9306,0.004588385008461773,0.004568703546747565,Adam,,,1e-06,1e-06,0.2,0.7416129112243652,MC
31,0.0016942494648353507,0.9335166666666667,0.9307,0.004584675895671049,0.004569712357595563,Adam,,,1e-06,1e-06,0.2,0.7476451396942139,MC
32,0.0016847699916611115,0.9338333333333333,0.9307,0.004581437403398256,0.004571019998379051,Adam,,,1e-06,1e-06,0.2,0.7443718910217285,MC
33,0.0016756500280151764,0.934,0.931,0.004578609647136181,0.004572652006521821,Adam,,,1e-06,1e-06,0.2,0.7444229125976562,MC
34,0.0016669135400482144,0.93425,0.9311,0.004576098094197611,0.0045745679469779135,Adam,,,1e-06,1e-06,0.2,0.749060869216919,MC
35,0.0016584952421719208,0.9344,0.9311,0.004573919844223807,0.004576684892736375,Adam,,,1e-06,1e-06,0.2,0.7445712089538574,MC
36,0.0016503811733952413,0.9347166666666666,0.9312,0.004572063505649567,0.004579007567279041,Adam,,,1e-06,1e-06,0.2,0.802941083908081,MC
37,0.001642551216032977,0.9348333333333333,0.9312,0.004570393107955655,0.004581543785985559,Adam,,,1e-06,1e-06,0.2,0.7422471046447754,MC
38,0.001634992264568185,0.9351333333333334,0.9311,0.00456904899890845,0.0045843175454996525,Adam,,,1e-06,1e-06,0.2,0.7412128448486328,MC
39,0.0016276987877053518,0.9353833333333333,0.931,0.004567868964343021,0.0045871603124774995,Adam,,,1e-06,1e-06,0.2,0.744901180267334,MC
40,0.0016206281482552488,0.9356,0.9309,0.00456688782464092,0.004590242440998554,Adam,,,1e-06,1e-06,0.2,0.7441468238830566,MC
41,0.0016137982682247335,0.9357333333333333,0.9309,0.0045660681942167386,0.004593405888043344,Adam,,,1e-06,1e-06,0.2,0.7455086708068848,MC
42,0.001607162427646108,0.93575,0.9308,0.004565414195104192,0.004596717834472656,Adam,,,1e-06,1e-06,0.2,0.7436769008636475,MC
43,0.0016007452389923855,0.9359333333333333,0.9309,0.004564901760903498,0.004600052766688168,Adam,,,1e-06,1e-06,0.2,0.7451069355010986,MC
44,0.0015945017930585892,0.9361,0.931,0.004564553095772863,0.004603621271345764,Adam,,,1e-06,1e-06,0.2,0.7482929229736328,MC
45,0.0015884423666711275,0.9362666666666667,0.9309,0.004564328852233787,0.004607199498452246,Adam,,,1e-06,1e-06,0.2,0.7417919635772705,MC
46,0.0015825489605932187,0.9365333333333333,0.9308,0.004564187096183499,0.004610873016063124,Adam,,,1e-06,1e-06,0.2,0.7400100231170654,MC
47,0.0015768187450710684,0.93665,0.9307,0.004564136464490245,0.004614617093093693,Adam,,,1e-06,1e-06,0.2,0.7454051971435547,MC
48,0.0015712336632112663,0.9367666666666666,0.9309,0.004564220544447502,0.004618508703447878,Adam,,,1e-06,1e-06,0.2,0.7678251266479492,MC
49,0.001565810017598172,0.93695,0.931,0.004564367709991832,0.004622477899119258,Adam,,,1e-06,1e-06,0.2,0.7546350955963135,MC
50,0.0015605107735376805,0.9369666666666666,0.931,0.004564609792238722,0.004626442643348128,Adam,,,1e-06,1e-06,0.2,0.7580828666687012,MC
51,0.0015553628702803205,0.9371,0.9312,0.004564906782781084,0.00463055787216872,Adam,,,1e-06,1e-06,0.2,0.7823870182037354,MC
52,0.0015503220949011545,0.9371833333333334,0.9312,0.004565274656253556,0.004634696802683175,Adam,,,1e-06,1e-06,0.2,0.8313941955566406,MC
53,0.0015453942361442993,0.93735,0.9308,0.004565714336497088,0.004638891999609768,Adam,,,1e-06,1e-06,0.2,0.8203082084655762,MC
54,0.0015405941554733243,0.9374833333333333,0.9308,0.004566229719916979,0.004643170099146664,Adam,,,1e-06,1e-06,0.2,0.7488420009613037,MC
55,0.001535906458607254,0.9375666666666667,0.9308,0.0045667741428439814,0.00464744563549757,Adam,,,1e-06,1e-06,0.2,0.7775671482086182,MC
56,0.0015313160784076899,0.9376166666666667,0.931,0.004567360901149611,0.004651794747356325,Adam,,,1e-06,1e-06,0.2,0.7480089664459229,MC
57,0.0015268217873293907,0.9377166666666666,0.9309,0.0045680372815268735,0.00465624360460788,Adam,,,1e-06,1e-06,0.2,0.743750810623169,MC
58,0.0015224212917499245,0.9378833333333333,0.931,0.0045687457694361605,0.004660731543134898,Adam,,,1e-06,1e-06,0.2,0.7368950843811035,MC
59,0.0015181282583934565,0.9379833333333333,0.931,0.004569511764931182,0.004665230987872929,Adam,,,1e-06,1e-06,0.2,0.7488510608673096,MC
60,0.0015139160216087475,0.9380333333333334,0.9312,0.00457033922749882,0.004669798117317259,Adam,,,1e-06,1e-06,0.2,0.7675540447235107,MC
61,0.001509784547286108,0.9383,0.9312,0.004571192556526512,0.004674428688362241,Adam,,,1e-06,1e-06,0.2,0.7598950862884521,MC
62,0.0015057400981507575,0.9384333333333333,0.9311,0.004572111498657614,0.004679185571335256,Adam,,,1e-06,1e-06,0.2,0.8111248016357422,MC
63,0.0015017719368916006,0.9385666666666667,0.9311,0.004573029660868148,0.004683815328590572,Adam,,,1e-06,1e-06,0.2,0.9084529876708984,MC
64,0.0014978597386352097,0.9388333333333333,0.9312,0.0045740498874336484,0.004688583289645612,Adam,,,1e-06,1e-06,0.2,0.7991669178009033,MC
65,0.001494027672925343,0.9388666666666666,0.9311,0.00457508409700046,0.004693351456709206,Adam,,,1e-06,1e-06,0.2,0.8027498722076416,MC
66,0.0014902679178242881,0.9390833333333334,0.9308,0.004576143999490887,0.004698103555291891,Adam,,,1e-06,1e-06,0.2,0.7780542373657227,MC
67,0.0014865804302195708,0.9390666666666667,0.9307,0.00457727095267425,0.004703024726733565,Adam,,,1e-06,1e-06,0.2,0.7653458118438721,MC
68,0.001482943992006282,0.9391666666666667,0.9306,0.004578428920544684,0.0047078831918537616,Adam,,,1e-06,1e-06,0.2,0.7605619430541992,MC
69,0.0014793673467201492,0.9391833333333334,0.9307,0.004579616656185438,0.004712802529986948,Adam,,,1e-06,1e-06,0.2,0.7703230381011963,MC
70,0.0014758669362248233,0.9392,0.9307,0.00458083948486795,0.004717775466293097,Adam,,,1e-06,1e-06,0.2,0.7676007747650146,MC
