epoch,train_loss,train_acc,accuracy,train_detached_loss,test_detached_loss,optimizer,loss_fn,repetition,initial_lr,actual_lr,corr_p,epoch_time,method
1,0.08064948227405548,0.8083666666666667,0.8754,0.008662760207305352,0.008331616307795048,Adam,,,1e-06,1e-06,0.2,0.8149769306182861,FWD
2,0.07559072535832723,0.8791,0.8957,0.006607387888928254,0.006325242158025503,Adam,,,1e-06,1e-06,0.2,0.8310031890869141,FWD
3,0.07468918387095133,0.8936666666666667,0.9044,0.0058500590353583294,0.005606039159744978,Adam,,,1e-06,1e-06,0.2,0.9709618091583252,FWD
4,0.07428022722403209,0.9013666666666666,0.9105,0.005445488973458608,0.005231781134381891,Adam,,,1e-06,1e-06,0.2,0.9276518821716309,FWD
5,0.07403976977666218,0.9064166666666666,0.9141,0.005191056962994238,0.005002688875421882,Adam,,,1e-06,1e-06,0.2,0.8423449993133545,FWD
6,0.07387900670369466,0.91,0.9154,0.00501515395740668,0.004848788649588823,Adam,,,1e-06,1e-06,0.2,0.8142261505126953,FWD
7,0.07376256434122722,0.9126,0.9165,0.0048854195453847445,0.004738711261190474,Adam,,,1e-06,1e-06,0.2,0.7900230884552002,FWD
8,0.07367350293795268,0.9145166666666666,0.9186,0.004785309280982862,0.004656413060426712,Adam,,,1e-06,1e-06,0.2,0.7878410816192627,FWD
9,0.07360253921349844,0.9159166666666667,0.9206,0.004705397632159293,0.004592976419813931,Adam,,,1e-06,1e-06,0.2,0.7894649505615234,FWD
10,0.07354421195189158,0.9172333333333333,0.9215,0.004639718838160237,0.004542581974901259,Adam,,,1e-06,1e-06,0.2,0.8499021530151367,FWD
11,0.07349512917200725,0.9180833333333334,0.9216,0.004584751711040736,0.004501963521540165,Adam,,,1e-06,1e-06,0.2,0.80190110206604,FWD
12,0.07345304294427236,0.9188333333333333,0.9222,0.004537851804184417,0.004468576288037002,Adam,,,1e-06,1e-06,0.2,0.7953231334686279,FWD
13,0.07341638847986857,0.9199666666666667,0.9226,0.0044973039577094216,0.004440909124165773,Adam,,,1e-06,1e-06,0.2,0.7927911281585693,FWD
14,0.07338402794202169,0.92095,0.9231,0.004461782252167662,0.004417701037600637,Adam,,,1e-06,1e-06,0.2,0.7918200492858887,FWD
15,0.07335520362059275,0.92205,0.924,0.0044304074058930075,0.004398013782873749,Adam,,,1e-06,1e-06,0.2,0.7948050498962402,FWD
16,0.0733292513926824,0.9225333333333333,0.9242,0.004402407046065976,0.0043812177998945115,Adam,,,1e-06,1e-06,0.2,0.7888569831848145,FWD
17,0.07330568398634593,0.9231833333333334,0.9245,0.004377288527476291,0.0043669127965345975,Adam,,,1e-06,1e-06,0.2,0.8045139312744141,FWD
18,0.07328417558670045,0.9237333333333333,0.9244,0.004354515547771007,0.004354589259438216,Adam,,,1e-06,1e-06,0.2,0.8179221153259277,FWD
19,0.07326441368261973,0.9241833333333334,0.9244,0.004333818681444973,0.004343888618797064,Adam,,,1e-06,1e-06,0.2,0.793118953704834,FWD
20,0.07324614678223927,0.9246,0.9241,0.004314859011645119,0.004334582358598709,Adam,,,1e-06,1e-06,0.2,0.8210060596466064,FWD
21,0.07322919050057729,0.9252333333333334,0.9244,0.004297416122009357,0.004326515383273363,Adam,,,1e-06,1e-06,0.2,0.8207840919494629,FWD
22,0.07321337739626567,0.9255833333333333,0.9247,0.004281328294239938,0.004319524361751974,Adam,,,1e-06,1e-06,0.2,0.7954361438751221,FWD
23,0.07319856934547424,0.9261,0.9244,0.004266378538745145,0.00431332596372813,Adam,,,1e-06,1e-06,0.2,0.7963039875030518,FWD
24,0.07318467223644257,0.92665,0.9246,0.004252513906732202,0.004308159320428968,Adam,,,1e-06,1e-06,0.2,0.7944881916046143,FWD
25,0.07317156699498495,0.92685,0.9248,0.004239532175132384,0.004303506211657077,Adam,,,1e-06,1e-06,0.2,0.790816068649292,FWD
26,0.07315920061270396,0.9271166666666667,0.925,0.004227430568511287,0.0042994900308549406,Adam,,,1e-06,1e-06,0.2,0.7919700145721436,FWD
27,0.07314746339321136,0.9273666666666667,0.9254,0.004215993092395365,0.004295912862755358,Adam,,,1e-06,1e-06,0.2,0.7860689163208008,FWD
28,0.07313634499708811,0.92765,0.9252,0.004205259260597329,0.004292919808998704,Adam,,,1e-06,1e-06,0.2,0.7898702621459961,FWD
29,0.07312574225266774,0.92795,0.9255,0.004195129659492523,0.004290320739056915,Adam,,,1e-06,1e-06,0.2,0.7874999046325684,FWD
30,0.07311562492847443,0.9282333333333334,0.9253,0.004185573229069511,0.004288054399006069,Adam,,,1e-06,1e-06,0.2,0.7877771854400635,FWD
31,0.07310594203472137,0.9284,0.9254,0.004176506319393715,0.004286217542178929,Adam,,,1e-06,1e-06,0.2,0.8005340099334717,FWD
32,0.073096732878685,0.9285,0.9257,0.004167967874184251,0.004284717312082648,Adam,,,1e-06,1e-06,0.2,0.8931679725646973,FWD
33,0.0730878466129303,0.9288333333333333,0.926,0.004159734989888966,0.0042833596182055775,Adam,,,1e-06,1e-06,0.2,0.945828914642334,FWD
34,0.07307931653658549,0.9289666666666667,0.9264,0.00415197217023621,0.004282312780525536,Adam,,,1e-06,1e-06,0.2,0.7977190017700195,FWD
35,0.07307111694812775,0.9291166666666667,0.9267,0.004144560228660703,0.004281490248534829,Adam,,,1e-06,1e-06,0.2,0.7887349128723145,FWD
36,0.07306325974464417,0.9291833333333334,0.9272,0.004137455379590392,0.004280902190320194,Adam,,,1e-06,1e-06,0.2,0.7942845821380615,FWD
37,0.07305562245051066,0.9293166666666667,0.9274,0.004130685249778132,0.004280406605824828,Adam,,,1e-06,1e-06,0.2,0.8037817478179932,FWD
38,0.07304829763571422,0.9295,0.9276,0.004124211780261248,0.0042801884867250915,Adam,,,1e-06,1e-06,0.2,0.8494820594787598,FWD
39,0.07304120856126149,0.9296166666666666,0.9276,0.004117990764944504,0.004280102195683867,Adam,,,1e-06,1e-06,0.2,0.7979519367218018,FWD
40,0.07303432547251383,0.9298666666666666,0.9279,0.004112027732934803,0.004280245356168598,Adam,,,1e-06,1e-06,0.2,0.8429360389709473,FWD
