epoch,train_loss,train_acc,accuracy,train_detached_loss,test_detached_loss,optimizer,loss_fn,repetition,initial_lr,actual_lr,corr_p,epoch_time,method
1,0.08064948449134826,0.8083666666666667,0.8754,0.008662757872293392,0.008331618669629098,Adam,,,1e-06,1e-06,0.2,0.8667697906494141,MC
2,0.07559072375297546,0.8791,0.8957,0.006607401626432936,0.006325265581905842,Adam,,,1e-06,1e-06,0.2,0.7476937770843506,MC
3,0.07468918701807657,0.8936666666666667,0.9044,0.0058500610239803795,0.005606048221886158,Adam,,,1e-06,1e-06,0.2,1.026766300201416,MC
4,0.0742802308956782,0.9013666666666666,0.9103,0.005445469997823239,0.005231752514839172,Adam,,,1e-06,1e-06,0.2,0.7776970863342285,MC
5,0.07403976868788402,0.9064333333333333,0.9141,0.005191046069314083,0.005002684176899493,Adam,,,1e-06,1e-06,0.2,0.7361462116241455,MC
6,0.07387900871435801,0.91,0.9154,0.0050151302525152765,0.004848792788386345,Adam,,,1e-06,1e-06,0.2,0.7312049865722656,MC
7,0.07376254772345225,0.9125833333333333,0.9165,0.004885430416092277,0.004738720196299255,Adam,,,1e-06,1e-06,0.2,0.7550418376922607,MC
8,0.07367350857257843,0.91455,0.9186,0.0047853245782665905,0.00465644392054528,Adam,,,1e-06,1e-06,0.2,0.772939920425415,MC
9,0.07360253440539043,0.9159166666666667,0.9206,0.004705399525569131,0.00459296756926924,Adam,,,1e-06,1e-06,0.2,0.7796230316162109,MC
10,0.07354422365029653,0.9172333333333333,0.9215,0.004639735799220701,0.004542587768286466,Adam,,,1e-06,1e-06,0.2,0.7589943408966064,MC
11,0.07349513115882873,0.9180833333333334,0.9216,0.004584748957492411,0.0045019223857671025,Adam,,,1e-06,1e-06,0.2,0.7617390155792236,MC
12,0.07345304814974467,0.9188333333333333,0.9222,0.0045378488206615055,0.004468568937107921,Adam,,,1e-06,1e-06,0.2,0.7545459270477295,MC
