epoch,train_loss,train_acc,accuracy,train_detached_loss,test_detached_loss,optimizer,loss_fn,repetition,initial_lr,actual_lr,corr_p,epoch_time,method
1,-5.1494002990269414e-05,0.6009166666666667,0.6606,0.03428329243063927,0.03490141555070877,Adam,,,1e-06,1e-06,0.2,1.5399048328399658,FWD
2,-7.49398098831686e-05,0.6607333333333333,0.6684,0.04043521366318067,0.04130967671871185,Adam,,,1e-06,1e-06,0.2,1.4606280326843262,FWD
3,-7.868203048128635e-05,0.6668,0.6731,0.044748581169048944,0.04580597413778305,Adam,,,1e-06,1e-06,0.2,1.4319069385528564,FWD
4,-8.046509871104111e-05,0.6704833333333333,0.6748,0.048360773267348604,0.049572417986392975,Adam,,,1e-06,1e-06,0.2,1.4573678970336914,FWD
5,-8.156933772261255e-05,0.6729833333333334,0.6778,0.05165132538080215,0.053000128769874574,Adam,,,1e-06,1e-06,0.2,1.4353210926055908,FWD
6,-8.233733121693755e-05,0.67445,0.6785,0.054793339135249454,0.05626876974105835,Adam,,,1e-06,1e-06,0.2,1.428664207458496,FWD
7,-8.29082239283404e-05,0.6756,0.6791,0.057880823403596876,0.05947744059562683,Adam,,,1e-06,1e-06,0.2,1.5084898471832275,FWD
8,-8.335398525038423e-05,0.6765833333333333,0.6796,0.06096990105907122,0.06268654036521912,Adam,,,1e-06,1e-06,0.2,1.5360910892486572,FWD
9,-8.371467992740994e-05,0.67755,0.6805,0.0640934897740682,0.06593182396888733,Adam,,,1e-06,1e-06,0.2,1.5065021514892578,FWD
10,-8.401428597668806e-05,0.67835,0.6812,0.0672620692451795,0.06922452223300934,Adam,,,1e-06,1e-06,0.2,1.4261760711669922,FWD
11,-8.426845160623391e-05,0.6788833333333333,0.6814,0.0704771703561147,0.07256670055389404,Adam,,,1e-06,1e-06,0.2,1.4341609477996826,FWD
12,-8.448732701169017e-05,0.6795333333333333,0.6819,0.07371243413289388,0.07592933993339539,Adam,,,1e-06,1e-06,0.2,1.4993269443511963,FWD
13,-8.467834847785222e-05,0.6799833333333334,0.6821,0.07690115685462952,0.0792449381828308,Adam,,,1e-06,1e-06,0.2,1.4189419746398926,FWD
14,-8.484714899871809e-05,0.6804,0.6825,0.07980679639180502,0.08227595534324646,Adam,,,1e-06,1e-06,0.2,1.4189376831054688,FWD
15,-8.499838165977659e-05,0.6808833333333333,0.6829,0.07916979369719823,0.08171210725307465,Adam,,,1e-06,1e-06,0.2,1.417388677597046,FWD
16,-8.654834275366738e-05,0.69335,0.7051,0.07090775089859963,0.07299901797771453,Adam,,,1e-06,1e-06,0.2,1.4212322235107422,FWD
17,-8.846609132209172e-05,0.7105833333333333,0.7187,0.0708990341802438,0.07269201226234435,Adam,,,1e-06,1e-06,0.2,1.4201760292053223,FWD
18,-8.979159621327806e-05,0.7226,0.7269,0.07260548993746439,0.07436384365558624,Adam,,,1e-06,1e-06,0.2,1.4233322143554688,FWD
19,-9.080183888436295e-05,0.7308333333333333,0.736,0.07503630299568176,0.0769819233417511,Adam,,,1e-06,1e-06,0.2,1.4185898303985596,FWD
20,-9.159024214022794e-05,0.7367666666666667,0.7406,0.07771914614041646,0.07988012683391571,Adam,,,1e-06,1e-06,0.2,1.420987844467163,FWD
21,-9.213410519102279e-05,0.7409333333333333,0.7439,0.08044614434639613,0.08278814017772675,Adam,,,1e-06,1e-06,0.2,1.4261820316314697,FWD
