epoch,train_loss,train_acc,accuracy,train_detached_loss,test_detached_loss,optimizer,loss_fn,repetition,initial_lr,actual_lr,corr_p,epoch_time,method
1,3.711847042338053,0.7080666666666666,0.8136,0.010122751176108917,0.009782042045891285,Adam,,,1e-06,1e-06,0.2,2.1372621059417725,FWD
2,3.346606332906087,0.8358333333333333,0.8494,0.00795324060531954,0.007620027370005846,Adam,,,1e-06,1e-06,0.2,2.1389119625091553,FWD
3,3.2498081868489583,0.8524666666666667,0.8621,0.00730426730165879,0.007002733341977,Adam,,,1e-06,1e-06,0.2,2.296579122543335,FWD
4,3.2008596969604493,0.8598333333333333,0.8684,0.006940598368644715,0.006671289086341858,Adam,,,1e-06,1e-06,0.2,2.535511016845703,FWD
5,3.166495152537028,0.8653833333333333,0.8713,0.006698180788755417,0.006458890640363097,Adam,,,1e-06,1e-06,0.2,2.129284143447876,FWD
6,3.1397673225402833,0.8694333333333333,0.8755,0.006519597314546505,0.00630666923020035,Adam,,,1e-06,1e-06,0.2,2.2534079551696777,FWD
7,3.117876073201497,0.8720333333333333,0.8784,0.00638038846484075,0.006190995186567306,Adam,,,1e-06,1e-06,0.2,2.300049304962158,FWD
8,3.099342776234945,0.8748333333333334,0.8803,0.006268069723000129,0.006100077803805471,Adam,,,1e-06,1e-06,0.2,2.1264078617095947,FWD
9,3.0833319005330404,0.8767666666666667,0.8824,0.006174632885990044,0.006026135412417352,Adam,,,1e-06,1e-06,0.2,2.15315318107605,FWD
10,3.069245634206136,0.8782166666666666,0.884,0.006096034294863542,0.0059657764127478,Adam,,,1e-06,1e-06,0.2,2.1436767578125,FWD
11,3.056676659901937,0.8795333333333333,0.8856,0.006028469649329782,0.0059152240687981245,Adam,,,1e-06,1e-06,0.2,2.128613233566284,FWD
12,3.045355251820882,0.88105,0.8873,0.0059698189268509545,0.005872491094097495,Adam,,,1e-06,1e-06,0.2,2.127187967300415,FWD
13,3.0350529406229656,0.8818333333333334,0.8876,0.005918420094344765,0.005836130483821035,Adam,,,1e-06,1e-06,0.2,2.113656997680664,FWD
14,3.025603049468994,0.8831333333333333,0.888,0.005872988438606262,0.005804937250167131,Adam,,,1e-06,1e-06,0.2,2.1139934062957764,FWD
