epoch,train_loss,train_acc,accuracy,train_detached_loss,test_detached_loss,optimizer,loss_fn,repetition,initial_lr,actual_lr,corr_p,epoch_time,method
1,0.0749828538497289,0.7507166666666667,0.8308,0.008740980862577756,0.008405712963640689,Adam,,,1e-06,1e-06,0.2,0.8934552669525146,MC
2,0.05274326352278391,0.8324,0.8522,0.007631219208240509,0.00733070372864604,Adam,,,1e-06,1e-06,0.2,0.87705397605896,MC
3,0.048527762715021766,0.8460833333333333,0.8584,0.0071805868985752265,0.00690691185593605,Adam,,,1e-06,1e-06,0.2,0.7826511859893799,MC
4,0.046058271646499636,0.85365,0.8635,0.006892385938080649,0.006640971545875072,Adam,,,1e-06,1e-06,0.2,0.7789943218231201,MC
5,0.04422775679628054,0.8583833333333334,0.8668,0.006682467951439321,0.0064517974335700275,Adam,,,1e-06,1e-06,0.2,0.7806761264801025,MC
6,0.04277108357747396,0.8619,0.8698,0.0065185391328608,0.006307199447602034,Adam,,,1e-06,1e-06,0.2,0.7795839309692383,MC
7,0.041565906661748885,0.8646,0.8727,0.006385399961533646,0.006192510961741209,Adam,,,1e-06,1e-06,0.2,0.7794129848480225,MC
8,0.04054258805513382,0.8673166666666666,0.8753,0.006274583973735571,0.006099353104643524,Adam,,,1e-06,1e-06,0.2,0.786189079284668,MC
9,0.03965624112089475,0.8694166666666666,0.8773,0.006180735858157277,0.006022419370338321,Adam,,,1e-06,1e-06,0.2,0.7888650894165039,MC
10,0.03887825779517492,0.8714833333333334,0.8793,0.006099962553630272,0.005957864942401647,Adam,,,1e-06,1e-06,0.2,0.7797389030456543,MC
11,0.038184738810857134,0.8733166666666666,0.8805,0.006029838298944135,0.005903570866025984,Adam,,,1e-06,1e-06,0.2,0.7837319374084473,MC
12,0.03756256439089775,0.87445,0.8821,0.005968231353412072,0.005857165655493737,Adam,,,1e-06,1e-06,0.2,0.7856981754302979,MC
13,0.03699885268608729,0.8757833333333334,0.8828,0.0059135747653742635,0.005817359980195761,Adam,,,1e-06,1e-06,0.2,0.8899550437927246,MC
14,0.036484732985496524,0.87675,0.8835,0.005864772964765628,0.005783053361065686,Adam,,,1e-06,1e-06,0.2,0.953420877456665,MC
15,0.03600902474919955,0.8777333333333334,0.8845,0.005820524735872944,0.005752893444150686,Adam,,,1e-06,1e-06,0.2,0.8300981521606445,MC
16,0.03556945677995682,0.8786833333333334,0.8857,0.005780465491736928,0.005726366862468421,Adam,,,1e-06,1e-06,0.2,0.7782242298126221,MC
17,0.035161024349927905,0.87945,0.8864,0.00574429486716787,0.00570329031907022,Adam,,,1e-06,1e-06,0.2,0.865361213684082,MC
18,0.03478057357668877,0.8800333333333333,0.8864,0.0057111369886125125,0.005682795531116426,Adam,,,1e-06,1e-06,0.2,0.7784631252288818,MC
19,0.03442443623344103,0.8806666666666667,0.8869,0.005680779111944139,0.005664562864229083,Adam,,,1e-06,1e-06,0.2,0.779289960861206,MC
20,0.0340899486998717,0.88135,0.8876,0.005652986565356453,0.005648473267070949,Adam,,,1e-06,1e-06,0.2,0.7768943309783936,MC
21,0.03377440889080365,0.8821666666666667,0.8877,0.0056270053972179695,0.005634012435749174,Adam,,,1e-06,1e-06,0.2,0.7884669303894043,MC
22,0.03347583568294843,0.88265,0.8878,0.00560305767574658,0.005621115512028337,Adam,,,1e-06,1e-06,0.2,0.7930679321289062,MC
23,0.033192090767621994,0.8832666666666666,0.8884,0.005580569080325465,0.005608972031064332,Adam,,,1e-06,1e-06,0.2,0.7893619537353516,MC
24,0.03292161219914754,0.88385,0.889,0.005559800997252265,0.005598398868367076,Adam,,,1e-06,1e-06,0.2,0.7878882884979248,MC
25,0.03266395795543989,0.8844,0.8897,0.005540416509906451,0.005588820887729526,Adam,,,1e-06,1e-06,0.2,0.7769248485565186,MC
26,0.03241883739233017,0.88485,0.8899,0.005522438906505704,0.005580420840717852,Adam,,,1e-06,1e-06,0.2,0.7836830615997314,MC
27,0.03218522587418556,0.8851,0.8897,0.005505584205749134,0.005572526124864817,Adam,,,1e-06,1e-06,0.2,0.782261848449707,MC
28,0.0319608984152476,0.8858,0.89,0.005489852523369094,0.005565766094811261,Adam,,,1e-06,1e-06,0.2,0.7871541976928711,MC
29,0.03174620550076167,0.88625,0.8907,0.005475061022676527,0.005559567551501095,Adam,,,1e-06,1e-06,0.2,0.8625590801239014,MC
30,0.031540368169546126,0.88665,0.8911,0.005461138425022364,0.005553867855481803,Adam,,,1e-06,1e-06,0.2,0.7816779613494873,MC
31,0.03134314682483673,0.8870333333333333,0.8913,0.005448134438383083,0.005548945392295718,Adam,,,1e-06,1e-06,0.2,0.7832162380218506,MC
32,0.031153403119246165,0.8873,0.8915,0.005435907638818026,0.005544478402473033,Adam,,,1e-06,1e-06,0.2,0.9646909236907959,MC
33,0.030970710080862045,0.8875666666666666,0.8917,0.0054244425517196455,0.005540688578225672,Adam,,,1e-06,1e-06,0.2,0.7857320308685303,MC
34,0.030794181974728902,0.8878666666666667,0.892,0.005413613118417561,0.0055373325038701295,Adam,,,1e-06,1e-06,0.2,0.7851982116699219,MC
35,0.030624659949541094,0.8879166666666667,0.8923,0.005403420354177554,0.0055344857058487835,Adam,,,1e-06,1e-06,0.2,0.8017787933349609,MC
36,0.030460135074456534,0.88815,0.8928,0.005393871925088266,0.005531844311114401,Adam,,,1e-06,1e-06,0.2,0.8188381195068359,MC
37,0.030302066506942112,0.8884166666666666,0.8931,0.0053849198400974276,0.0055297848683781925,Adam,,,1e-06,1e-06,0.2,0.8971309661865234,MC
38,0.03014789952834447,0.8886333333333334,0.893,0.00537636436621348,0.005527938042022288,Adam,,,1e-06,1e-06,0.2,0.8113839626312256,MC
39,0.029998030281066894,0.8890333333333333,0.8934,0.005368483099900186,0.0055266988271847365,Adam,,,1e-06,1e-06,0.2,0.8049061298370361,MC
40,0.029852086704969406,0.8893833333333333,0.8935,0.005360899150154243,0.005525608019158244,Adam,,,1e-06,1e-06,0.2,0.7688848972320557,MC
41,0.029710876927773158,0.88945,0.8939,0.005353713119775057,0.0055247442823834715,Adam,,,1e-06,1e-06,0.2,0.8209381103515625,MC
42,0.029573788209756216,0.8896333333333334,0.8942,0.00534701759427165,0.005524228036776185,Adam,,,1e-06,1e-06,0.2,0.7705552577972412,MC
43,0.02944057456056277,0.8897666666666667,0.8942,0.005340494687544803,0.005523735868185759,Adam,,,1e-06,1e-06,0.2,0.8218369483947754,MC
44,0.02931110814611117,0.8899,0.8946,0.0053344317834513886,0.005523610069602728,Adam,,,1e-06,1e-06,0.2,0.7744419574737549,MC
45,0.02918537294069926,0.89,0.8949,0.005328742277249694,0.00552379675488919,Adam,,,1e-06,1e-06,0.2,1.0479381084442139,MC
46,0.02906314512193203,0.8901166666666667,0.8951,0.0053234249557678895,0.005524199545476585,Adam,,,1e-06,1e-06,0.2,0.7691471576690674,MC
47,0.028944021744529407,0.8902833333333333,0.8954,0.005318333495035767,0.005524830243457108,Adam,,,1e-06,1e-06,0.2,0.7682690620422363,MC
48,0.02882815079689026,0.8903833333333333,0.8953,0.005313513142677645,0.00552550901165232,Adam,,,1e-06,1e-06,0.2,0.7735657691955566,MC
49,0.028714944330851238,0.8904833333333333,0.8954,0.005308964151050895,0.005526413369178772,Adam,,,1e-06,1e-06,0.2,0.8151359558105469,MC
50,0.02860496586362521,0.8904833333333333,0.8952,0.005304585057372848,0.005527363550662995,Adam,,,1e-06,1e-06,0.2,0.7669839859008789,MC
